
10184; qua; MPM; manhã; só: Estação Solarimétrica
10184; qua; MPM; manhã; só: Cabos CA/CC
10184; qua; MPM; manhã; só: Infraestrutura
10184; qua; MPM; manhã; só: String e Conjunto de Módulos
10184; qua; MPM; manhã; só: Inversor
10184; qua; MPM; manhã; só: Transformador
10184; qua; MPM; manhã; só: Caixa d'água
10184; qua; MPM; manhã; só: SPDA
10189; ter; MPA; manhã; só: SPDA
10189; qui; MPA; noite; só: Transformador
10189; qua; MPA; tarde; só: Inversor
10272; ter; MPM; manhã; só: Sistema de Segurança
10272; ter; MPM; manhã; só: SPDA
10272; ter; MPM; manhã; só: Infraestrutura
10264; qua; MPM; manhã; só: Transformador
10264; qua; MPM; manhã; só: QGBT
10264; qua; MPM; manhã; só: Cabine de Medição
10264; qua; MPM; manhã; só: SPDA
10264; qua; MPM; manhã; só: Sistema de Segurança
10264; qua; MPM; manhã; só: Infraestrutura
10264; qua; MPM; tarde; só: Nobreak e Banco de Baterias
10264; qua; MPM; tarde; só: Tracker
10264; qua; MPM; tarde; só: Estação Solarimétrica
10281; qua; MPM; manhã; só: Nobreak e Banco de Baterias
10281; qua; MPM; manhã; só: Cabos CA/CC
10281; qua; MPM; manhã; só: Infraestrutura
10281; qua; MPM; tarde; só: Transformador
10281; qua; MPM; tarde; só: SPDA
10281; qua; MPM; tarde; só: Sistema de Segurança
8401; qua; MPS; manhã; só: SPDA
8563; não
10296; não
11677; não
