12719; qua; MPM; manha; só: Inversor
12719; qua; MPM; manha; só: Transformador
12719; qua; MPM; manha; só: QGBT
12719; qua; MPM; manha; só: Cabine de Medição
12719; qua; MPM; manha; só: Nobreak e Banco de Baterias
12719; qua; MPM; manha; só: SPDA
12719; qua; MPM; manha; só: Tracker
12719; qua; MPM; manha; só: Estação Solarimétrica
12719; qua; MPM; manha; só: Cabos CA/CC
12719; qua; MPM; manha; só: Sistema de Segurança
12719; qua; MPM; manha; só: Infraestrutura
12799; qua; Levantamento de EPC; manha
12719; qua; MPM; manha; só: Caixa d'água
13764; não
12704; qui; MPM; manha; só: Almoxarifado
12704; qui; MPM; manha; só: Inversores
12704; qui; MPM; manha; só: Cabine de Média Tensão
12704; qui; MPM; manha; só: Módulos Fotovoltaicos
12704; qui; MPM; manha; só: Cabos CA/CC
12704; qui; MPM; manha; só: Infraestrutura Civil
12819; qui; Levantamento de EPC; manha
13623; qui; Handover; manha; só: Inversores
13623; qui; Handover; manha; só: Relé de Proteção
13623; qui; Handover; manha; só: Sistema de Supervisório
13623; qui; Handover; manha; só: Strings e Conjuntos de Módulos
13623; qui; Handover; manha; só: Trackers
13623; qui; Handover; manha; só: Transformador de Potência (Seco/Óleo)
13623; qui; Handover; manha; só: QGBT
13623; qui; Handover; manha; só: Nobreak e Banco de Baterias
13623; qui; Handover; manha; só: SPDA
13623; qui; Handover; manha; só: Estação Meteorológica
13623; qui; Handover; manha; só: Sistema CFTV (COS)
13623; qui; Handover; manha; só: Ar Condicionado
13623; qui; Handover; manha; só: RSU
13623; qui; Handover; manha; só: NCU
13623; qui; Handover; manha; só: PPCI
13623; qui; Handover; manha; só: CAIXA D’AGUA
